id,employee_id,date_taken,taken_by,file_taken_time,documents_taken,status_of_documents,taken_by_email,expected_return_date
4,28199,12/6/2022,mariem,11.22am,"Passport Photo, NDA Declaration",Returned - Archive 51,mariem@manipalgroup.info,10/07/2025
5,28245,12/6/2022,Shobha M J,11.22am,PAN Card,Returned - Archive 28,mariem@manipalgroup.info,24/07/2025
6,28214,12/6/2022,mariem,11.22am,"Employment Form, Aadhar Card",Returned - Archive 82,mariem@manipalgroup.info,23/07/2025
7,28388,12/6/2022,Shobha M J,05-05Pm,EPF Form,Returned - Archive 57,spg@manipalgroup.info,12/07/2025
8,55727,12/15/2022,SPG,3.28pm,"EPF Form, PAN Card, NDA Declaration, Passport Photo",Returned - Archive 4,mariem@manipalgroup.info,20/07/2025
9,45529,12/21/2022,SPG,10.55am,"Employment Form, PAN Card",Returned - Archive 80,mariem@manipalgroup.info,13/07/2025
10,45529,12/27/2022,Shobha M J,12.33pm,"Passport Photo, Appointment Letter, NDA Declaration",Exit - Archive 90,spg@manipalgroup.info,24/07/2025
11,28388,12/28/2022,mariem,3.25pm,"Aadhar Card, NDA Declaration, Passport Photo, Employment Form",Returned - Archive 66,mariem@manipalgroup.info,22/07/2025
12,28329,12/28/2022,Shobha M J,3.25pm,"Employment Form, PAN Card, Passport Photo, EPF Form",Returned - Archive 56,ashoka@manipalgroup.info,22/07/2025
13,55727,1/3/2023,Ashoka,12.50pm,"Employment Form, Aadhar Card",Returned - Archive 87,shobhamj@manipalgroup.info,25/07/2025
14,28401,1/17/2023,SPG,2.20pm,"PAN Card, EPF Form, Employment Form, Passport Photo",Returned - Archive 77,ashoka@manipalgroup.info,23/07/2025
15,11217,1/23/2023,mariem,3.31pm,"Appointment Letter, Employment Form, PAN Card",Returned - Archive 20,spg@manipalgroup.info,22/07/2025
16,28401,1/23/2023,SPG,5.55pm,"Passport Photo, PAN Card, Aadhar Card, EPF Form",Returned - Archive 40,bindiya@manipalgroup.info,26/07/2025
17,28329,1/25/2023,mariem,0506pm,"EPF Form, Employment Form, Appointment Letter",Returned - Archive 74,ashoka@manipalgroup.info,15/07/2025
18,28199,2/6/2023,SPG,5.58pm,"Employment Form, Appointment Letter",Returned - Archive 23,spg@manipalgroup.info,25/07/2025
19,28214,2/6/2023,Bindiya,5.58pm,Employment Form,Returned - Archive 59,spg@manipalgroup.info,14/07/2025
20,28245,2/6/2023,Shobha M J,5.58pm,"Employment Form, Passport Photo",Returned - Archive 22,bindiya@manipalgroup.info,13/07/2025
21,11217,2/7/2023,mariem,3.51pm,"EPF Form, Passport Photo, PAN Card, NDA Declaration",Exit - Archive 66,mariem@manipalgroup.info,13/07/2025
22,30811,11/29/2022,mariem,11.00am,"Appointment Letter, Aadhar Card, NDA Declaration",Returned - Archive 96,mariem@manipalgroup.info,11/07/2025
23,30808,11/29/2022,Ashoka,11.00am,"EPF Form, NDA Declaration",Returned - Archive 84,shobhamj@manipalgroup.info,14/07/2025
24,45217,11/29/2022,SPG,11.09am,"PAN Card, Aadhar Card",Exit - Archive 37,shobhamj@manipalgroup.info,24/07/2025
25,44200,11/29/2022,Shobha M J,11.46am,"Passport Photo, EPF Form, NDA Declaration, PAN Card",Returned - Archive 50,mariem@manipalgroup.info,14/07/2025
26,43197,11/29/2022,Ashoka,11.46am,"Aadhar Card, EPF Form, PAN Card, NDA Declaration",Returned - Archive 99,spg@manipalgroup.info,22/07/2025
27,43638,11/29/2022,Bindiya,11.55am,"PAN Card, Employment Form, Appointment Letter",Returned - Archive 58,spg@manipalgroup.info,12/07/2025
28,44761,11/29/2022,Ashoka,3.10pm,"NDA Declaration, Aadhar Card, Passport Photo",Returned - Archive 63,mariem@manipalgroup.info,28/07/2025
29,11095,11/30/2022,mariem,11.15am,"EPF Form, Employment Form, Passport Photo, NDA Declaration",Returned - Archive 57,bindiya@manipalgroup.info,25/07/2025
